num_items,time(s),algorithm
10700,0.12874740000000173,mergesort-pointers
10700,0.07625510000000091,quicksort-midpivot
10700,0.10546270000000035,quicksort-randpivot
10800,0.005751699999997584,builtin
10800,0.08285929999999908,mergesort-deques
10800,0.1419031000000004,mergesort-pointers
10800,0.07763679999999695,quicksort-midpivot
10800,0.08694320000000033,quicksort-randpivot
10900,0.004583600000000132,builtin
10900,0.09446589999999944,mergesort-deques
10900,0.13048750000000098,mergesort-pointers
10900,0.08546430000000171,quicksort-midpivot
10900,0.08709819999999979,quicksort-randpivot
11000,0.003616300000000905,builtin
11000,0.09367220000000032,mergesort-deques
11000,0.13625730000000047,mergesort-pointers
11000,0.08748169999999789,quicksort-midpivot
11000,0.09147250000000184,quicksort-randpivot
11100,0.005214999999999748,builtin
11100,0.0844017000000008,mergesort-deques
11100,0.12984170000000006,mergesort-pointers
11100,0.08504670000000658,quicksort-midpivot
11100,0.08610660000000081,quicksort-randpivot
11200,0.005932200000003718,builtin
11200,0.08891510000000125,mergesort-deques
11200,0.15223850000000283,mergesort-pointers
11200,0.08943500000000171,quicksort-midpivot
11200,0.08398760000000038,quicksort-randpivot
11300,0.0038501000000010777,builtin
11300,0.08983330000000223,mergesort-deques
11300,0.1456899000000007,mergesort-pointers
11300,0.09077150000000245,quicksort-midpivot
11300,0.08290450000000504,quicksort-randpivot
11400,0.00525660000000272,builtin
11400,0.08866820000000075,mergesort-deques
11400,0.14325969999999444,mergesort-pointers
11400,0.08448059999999913,quicksort-midpivot
11400,0.08928600000000131,quicksort-randpivot
11500,0.005776900000000751,builtin
11500,0.08943329999999605,mergesort-deques
11500,0.1416521999999958,mergesort-pointers
11500,0.08694779999999724,quicksort-midpivot
11500,0.09461970000000264,quicksort-randpivot
11600,0.0038806999999962954,builtin
11600,0.09436790000000173,mergesort-deques
11600,0.1473034999999996,mergesort-pointers
11600,0.10487520000000217,quicksort-midpivot
11600,0.0986625000000032,quicksort-randpivot
11700,0.005583099999995511,builtin
11700,0.08563500000000346,mergesort-deques
11700,0.14135329999999868,mergesort-pointers
11700,0.10214160000000305,quicksort-midpivot
11700,0.09951120000000202,quicksort-randpivot
11800,0.005029100000001563,builtin
11800,0.09686409999999768,mergesort-deques
11800,0.14138690000000054,mergesort-pointers
11800,0.09853119999999649,quicksort-midpivot
11800,0.08774530000000169,quicksort-randpivot
11900,0.00451580000000007,builtin
11900,0.09026090000000409,mergesort-deques
11900,0.14139049999999997,mergesort-pointers
11900,0.10369260000000224,quicksort-midpivot
11900,0.08909620000000018,quicksort-randpivot
12000,0.004020000000004131,builtin
12000,0.0962631000000016,mergesort-deques
12000,0.14236080000000584,mergesort-pointers
12000,0.09973589999999888,quicksort-midpivot
12000,0.09249159999999534,quicksort-randpivot
12100,0.00651640000000242,builtin
12100,0.09693610000000064,mergesort-deques
12100,0.1464371,mergesort-pointers
12100,0.11696209999999496,quicksort-midpivot
12100,0.1112412999999961,quicksort-randpivot
12200,0.004716000000001941,builtin
12200,0.11733749999999787,mergesort-deques
12200,0.1535677999999976,mergesort-pointers
12200,0.1272021000000052,quicksort-midpivot
12200,0.1093461999999974,quicksort-randpivot
12300,0.005052700000000243,builtin
12300,0.14942229999999768,mergesort-deques
12300,0.1863077000000004,mergesort-pointers
12300,0.0878190000000032,quicksort-midpivot
12300,0.09833059999999705,quicksort-randpivot
12400,0.0047883000000013,builtin
12400,0.08989590000000192,mergesort-deques
12400,0.14393090000000086,mergesort-pointers
12400,0.1248351999999997,quicksort-midpivot
12400,0.08274360000000058,quicksort-randpivot
12500,0.004125600000001839,builtin
12500,0.1464837999999986,mergesort-deques
12500,0.20880180000000337,mergesort-pointers
12500,0.08981640000000368,quicksort-midpivot
12500,0.08197519999999514,quicksort-randpivot
12600,0.0043811999999974205,builtin
12600,0.08559040000000095,mergesort-deques
12600,0.1392741000000015,mergesort-pointers
12600,0.08325759999999605,quicksort-midpivot
12600,0.09660339999999934,quicksort-randpivot
12700,0.0045874999999995225,builtin
12700,0.08462820000000448,mergesort-deques
12700,0.14698789999999917,mergesort-pointers
12700,0.08545980000000242,quicksort-midpivot
12700,0.08561499999999711,quicksort-randpivot
12800,0.004654699999996126,builtin
12800,0.08002139999999969,mergesort-deques
12800,0.1455795999999978,mergesort-pointers
12800,0.10263580000000161,quicksort-midpivot
12800,0.08644689999999855,quicksort-randpivot
12900,0.004359600000000796,builtin
12900,0.0905036999999993,mergesort-deques
12900,0.141121499999997,mergesort-pointers
12900,0.08498069999999558,quicksort-midpivot
12900,0.0965425000000053,quicksort-randpivot
13000,0.005434600000000955,builtin
13000,0.09162700000000257,mergesort-deques
13000,0.13882360000000205,mergesort-pointers
13000,0.08651559999999847,quicksort-midpivot
13000,0.09419059999999746,quicksort-randpivot
13100,0.004376499999999339,builtin
13100,0.0843474999999998,mergesort-deques
13100,0.14175649999999962,mergesort-pointers
13100,0.0820302000000055,quicksort-midpivot
13100,0.0910494999999969,quicksort-randpivot
13200,0.0051336000000006266,builtin
13200,0.08560959999999795,mergesort-deques
13200,0.1593498000000011,mergesort-pointers
13200,0.09461559999999736,quicksort-midpivot
13200,0.09095399999999643,quicksort-randpivot
13300,0.004927399999999693,builtin
13300,0.12899120000000153,mergesort-deques
13300,0.15340969999999743,mergesort-pointers
13300,0.09522359999999708,quicksort-midpivot
13300,0.0858931999999939,quicksort-randpivot
13400,0.004764600000001451,builtin
13400,0.09366959999999835,mergesort-deques
13400,0.15560239999999936,mergesort-pointers
13400,0.09262200000000576,quicksort-midpivot
13400,0.09257389999999788,quicksort-randpivot
13500,0.0050941000000008785,builtin
13500,0.09354929999999939,mergesort-deques
13500,0.15560419999999908,mergesort-pointers
13500,0.08792079999999913,quicksort-midpivot
13500,0.09444369999999935,quicksort-randpivot
13600,0.00477629999999607,builtin
13600,0.0861923999999945,mergesort-deques
13600,0.14600320000000266,mergesort-pointers
13600,0.09291629999999884,quicksort-midpivot
13600,0.08926070000000408,quicksort-randpivot
13700,0.0053076999999959185,builtin
13700,0.09259560000000278,mergesort-deques
13700,0.14341489999999624,mergesort-pointers
